"Daily Mean Air Temperature ",,,
,,,
Date,Value,"Time Period","Climate Model"
1986/08/19,41.74,1986-2005,CanESM2
1986/08/20,40.64,1986-2005,CanESM2
1986/08/21,36.23,1986-2005,CanESM2
1986/08/22,33.64,1986-2005,CanESM2
1986/08/23,35.13,1986-2005,CanESM2
1986/08/24,36.54,1986-2005,CanESM2
1986/08/25,30.88,1986-2005,CanESM2
1986/08/26,27.08,1986-2005,CanESM2
1986/08/27,28.79,1986-2005,CanESM2
1986/08/28,30.93,1986-2005,CanESM2
1986/08/29,28.96,1986-2005,CanESM2
1986/08/30,26.07,1986-2005,CanESM2
1986/08/31,29.23,1986-2005,CanESM2
1986/09/01,32.18,1986-2005,CanESM2
1986/09/02,29.54,1986-2005,CanESM2
1986/09/03,32.68,1986-2005,CanESM2
1986/09/04,27.63,1986-2005,CanESM2
1986/09/05,22.14,1986-2005,CanESM2
1986/09/06,22.56,1986-2005,CanESM2
1986/09/07,29.26,1986-2005,CanESM2
1986/09/08,22.39,1986-2005,CanESM2
1986/09/09,21.19,1986-2005,CanESM2
1986/09/10,20.36,1986-2005,CanESM2
1986/09/11,17.29,1986-2005,CanESM2
1986/09/12,24.6,1986-2005,CanESM2
1986/09/13,27.09,1986-2005,CanESM2
1986/09/14,28.83,1986-2005,CanESM2
1986/09/15,30,1986-2005,CanESM2
1986/09/16,31.93,1986-2005,CanESM2
1986/09/17,32.01,1986-2005,CanESM2
1986/09/18,31.47,1986-2005,CanESM2
1986/09/19,31.91,1986-2005,CanESM2
1986/09/20,30.61,1986-2005,CanESM2
1986/09/21,30.53,1986-2005,CanESM2
1986/09/22,26.74,1986-2005,CanESM2
1986/09/23,23.77,1986-2005,CanESM2
1986/09/24,25.36,1986-2005,CanESM2
1986/09/25,26.71,1986-2005,CanESM2
1986/09/26,29.32,1986-2005,CanESM2
1986/09/27,30.07,1986-2005,CanESM2
1986/09/28,27.04,1986-2005,CanESM2
1986/09/29,20.44,1986-2005,CanESM2
1986/09/30,18.81,1986-2005,CanESM2
1986/10/01,20.72,1986-2005,CanESM2
1986/10/02,23.39,1986-2005,CanESM2
1986/10/03,23.6,1986-2005,CanESM2
1986/10/04,25.85,1986-2005,CanESM2
1986/10/05,23.37,1986-2005,CanESM2
1986/10/06,22.06,1986-2005,CanESM2
1986/10/07,17.66,1986-2005,CanESM2
1986/10/08,15.03,1986-2005,CanESM2
1986/10/09,18.43,1986-2005,CanESM2
1986/10/10,20.14,1986-2005,CanESM2
1986/10/11,22.8,1986-2005,CanESM2
1986/10/12,25.58,1986-2005,CanESM2
1986/10/13,24.3,1986-2005,CanESM2
1986/10/14,15.15,1986-2005,CanESM2
1986/10/15,11.17,1986-2005,CanESM2
1986/10/16,14.01,1986-2005,CanESM2
1986/10/17,17.42,1986-2005,CanESM2
1986/10/18,18,1986-2005,CanESM2
1986/10/19,16.76,1986-2005,CanESM2
1986/10/20,17.73,1986-2005,CanESM2
1986/10/21,19.41,1986-2005,CanESM2
1986/10/22,19.9,1986-2005,CanESM2
1986/10/23,20.88,1986-2005,CanESM2
1986/10/24,21.79,1986-2005,CanESM2
1986/10/25,20.46,1986-2005,CanESM2
1986/10/26,20.62,1986-2005,CanESM2
1986/10/27,22.06,1986-2005,CanESM2
1986/10/28,21.41,1986-2005,CanESM2
1986/10/29,20.59,1986-2005,CanESM2
1986/10/30,20.76,1986-2005,CanESM2
1986/10/31,19.45,1986-2005,CanESM2
1986/11/01,13.27,1986-2005,CanESM2
1986/11/02,14.49,1986-2005,CanESM2
1986/11/03,15.97,1986-2005,CanESM2
1986/11/04,13.34,1986-2005,CanESM2
1986/11/05,10.89,1986-2005,CanESM2
1986/11/06,11.98,1986-2005,CanESM2
1986/11/07,9.69,1986-2005,CanESM2
1986/11/08,5.64,1986-2005,CanESM2
1986/11/09,5.04,1986-2005,CanESM2
1986/11/10,8.55,1986-2005,CanESM2
1986/11/11,10.58,1986-2005,CanESM2
1986/11/12,11.27,1986-2005,CanESM2
1986/11/13,14.62,1986-2005,CanESM2
1986/11/14,4.92,1986-2005,CanESM2
1986/11/15,3.58,1986-2005,CanESM2
1986/11/16,4.24,1986-2005,CanESM2
1986/11/17,4.56,1986-2005,CanESM2
1986/11/18,5.71,1986-2005,CanESM2
1986/11/19,4.15,1986-2005,CanESM2
1986/11/20,2.63,1986-2005,CanESM2
1986/11/21,1.48,1986-2005,CanESM2
1986/11/22,1.72,1986-2005,CanESM2
1986/11/23,8.72,1986-2005,CanESM2
1986/11/24,7.07,1986-2005,CanESM2
1986/11/25,3.55,1986-2005,CanESM2
1986/11/26,6.12,1986-2005,CanESM2
1986/11/27,2.93,1986-2005,CanESM2
1986/11/28,0.63,1986-2005,CanESM2
1986/11/29,0.83,1986-2005,CanESM2
1986/11/30,0.01,1986-2005,CanESM2
1986/12/01,1.02,1986-2005,CanESM2
1986/12/02,2.43,1986-2005,CanESM2
1986/12/03,5.79,1986-2005,CanESM2
1986/12/04,12.87,1986-2005,CanESM2
1986/12/05,7.84,1986-2005,CanESM2
1986/12/06,7.16,1986-2005,CanESM2
1986/12/07,10.47,1986-2005,CanESM2
1986/12/08,5.98,1986-2005,CanESM2
1986/12/09,2.66,1986-2005,CanESM2
1986/12/10,4.58,1986-2005,CanESM2
1986/12/11,6.93,1986-2005,CanESM2
1986/12/12,2.7,1986-2005,CanESM2
1986/12/13,-1.36,1986-2005,CanESM2
1986/12/14,2.06,1986-2005,CanESM2
1986/12/15,-2.67,1986-2005,CanESM2
1986/12/16,-2.7,1986-2005,CanESM2
1986/12/17,2.7,1986-2005,CanESM2
1986/12/18,-0.72,1986-2005,CanESM2
1986/12/19,-2.95,1986-2005,CanESM2
1986/12/20,-5.43,1986-2005,CanESM2
1986/12/21,-7.21,1986-2005,CanESM2
1986/12/22,0.05,1986-2005,CanESM2
1986/12/23,2.58,1986-2005,CanESM2
1986/12/24,5.35,1986-2005,CanESM2
1986/12/25,2.41,1986-2005,CanESM2
1986/12/26,0.65,1986-2005,CanESM2
1986/12/27,3.7,1986-2005,CanESM2
1986/12/28,6.57,1986-2005,CanESM2
1986/12/29,3.3,1986-2005,CanESM2
1986/12/30,7.26,1986-2005,CanESM2
1986/12/31,2,1986-2005,CanESM2
1987/01/01,-2.06,1986-2005,CanESM2
1987/01/02,-1.76,1986-2005,CanESM2
1987/01/03,-0.38,1986-2005,CanESM2
1987/01/04,-3.27,1986-2005,CanESM2
1987/01/05,-0.98,1986-2005,CanESM2
1987/01/06,-1.03,1986-2005,CanESM2
1987/01/07,-1.58,1986-2005,CanESM2
1987/01/08,-1.87,1986-2005,CanESM2
1987/01/09,-0.12,1986-2005,CanESM2
1987/01/10,3.34,1986-2005,CanESM2
1987/01/11,1.21,1986-2005,CanESM2
1987/01/12,-6.01,1986-2005,CanESM2
1987/01/13,-4.26,1986-2005,CanESM2
1987/01/14,-0.38,1986-2005,CanESM2
1987/01/15,1.52,1986-2005,CanESM2
1987/01/16,5.29,1986-2005,CanESM2
1987/01/17,5.12,1986-2005,CanESM2
1987/01/18,7.76,1986-2005,CanESM2
1987/01/19,11.29,1986-2005,CanESM2
1987/01/20,2.36,1986-2005,CanESM2
1987/01/21,-1.99,1986-2005,CanESM2
1987/01/22,-1.54,1986-2005,CanESM2
1987/01/23,1.15,1986-2005,CanESM2
1987/01/24,1.85,1986-2005,CanESM2
1987/01/25,0.95,1986-2005,CanESM2
1987/01/26,1.55,1986-2005,CanESM2
1987/01/27,3.4,1986-2005,CanESM2
1987/01/28,0.44,1986-2005,CanESM2
1987/01/29,-3.67,1986-2005,CanESM2
1987/01/30,-6.19,1986-2005,CanESM2
1987/01/31,-3.71,1986-2005,CanESM2
1987/02/01,-2.4,1986-2005,CanESM2
1987/02/02,1.22,1986-2005,CanESM2
1987/02/03,1.44,1986-2005,CanESM2
1987/02/04,1.88,1986-2005,CanESM2
1987/02/05,1.77,1986-2005,CanESM2
1987/02/06,7.57,1986-2005,CanESM2
1987/02/07,4.91,1986-2005,CanESM2
1987/02/08,-0.67,1986-2005,CanESM2
1987/02/09,5.99,1986-2005,CanESM2
1987/02/10,1.68,1986-2005,CanESM2
1987/02/11,4.75,1986-2005,CanESM2
1987/02/12,7.11,1986-2005,CanESM2
1987/02/13,7.37,1986-2005,CanESM2
1987/02/14,10.4,1986-2005,CanESM2
1987/02/15,4.18,1986-2005,CanESM2
1987/02/16,2.81,1986-2005,CanESM2
1987/02/17,5.39,1986-2005,CanESM2
1987/02/18,8.44,1986-2005,CanESM2
1987/02/19,9.45,1986-2005,CanESM2
1987/02/20,8.58,1986-2005,CanESM2
1987/02/21,11.5,1986-2005,CanESM2
1987/02/22,1.82,1986-2005,CanESM2
1987/02/23,-2.39,1986-2005,CanESM2
1987/02/24,-6.78,1986-2005,CanESM2
1987/02/25,0.49,1986-2005,CanESM2
1987/02/26,-2.6,1986-2005,CanESM2
1987/02/27,-6.02,1986-2005,CanESM2
1987/02/28,-8.16,1986-2005,CanESM2
1987/03/01,-12.55,1986-2005,CanESM2
1987/03/02,-1.01,1986-2005,CanESM2
1987/03/03,-1.44,1986-2005,CanESM2
1987/03/04,4.55,1986-2005,CanESM2
1987/03/05,9.13,1986-2005,CanESM2
1987/03/06,-1.99,1986-2005,CanESM2
1987/03/07,-0.79,1986-2005,CanESM2
1987/03/08,-0.36,1986-2005,CanESM2
1987/03/09,-1.63,1986-2005,CanESM2
1987/03/10,5.69,1986-2005,CanESM2
1987/03/11,3.63,1986-2005,CanESM2
1987/03/12,8.35,1986-2005,CanESM2
1987/03/13,4.92,1986-2005,CanESM2
1987/03/14,10.28,1986-2005,CanESM2
1987/03/15,15.74,1986-2005,CanESM2
1987/03/16,11.69,1986-2005,CanESM2
1987/03/17,3.72,1986-2005,CanESM2
1987/03/18,-1.38,1986-2005,CanESM2
1987/03/19,1.25,1986-2005,CanESM2
1987/03/20,4.75,1986-2005,CanESM2
1987/03/21,-1.47,1986-2005,CanESM2
1987/03/22,-6.04,1986-2005,CanESM2
1987/03/23,2.82,1986-2005,CanESM2
1987/03/24,14.4,1986-2005,CanESM2
1987/03/25,17.45,1986-2005,CanESM2
1987/03/26,15.99,1986-2005,CanESM2
1987/03/27,17.44,1986-2005,CanESM2
1987/03/28,14.46,1986-2005,CanESM2
1987/03/29,15.92,1986-2005,CanESM2
1987/03/30,7.88,1986-2005,CanESM2
1987/03/31,6.42,1986-2005,CanESM2
1987/04/01,10.32,1986-2005,CanESM2
1987/04/02,14.04,1986-2005,CanESM2
1987/04/03,16.54,1986-2005,CanESM2
1987/04/04,10.66,1986-2005,CanESM2
1987/04/05,13.29,1986-2005,CanESM2
1987/04/06,11.16,1986-2005,CanESM2
1987/04/07,11.81,1986-2005,CanESM2
1987/04/08,11.94,1986-2005,CanESM2
1987/04/09,12.86,1986-2005,CanESM2
1987/04/10,12.27,1986-2005,CanESM2
1987/04/11,12.54,1986-2005,CanESM2
1987/04/12,10.54,1986-2005,CanESM2
1987/04/13,9.58,1986-2005,CanESM2
1987/04/14,10.25,1986-2005,CanESM2
1987/04/15,11.23,1986-2005,CanESM2
1987/04/16,12.12,1986-2005,CanESM2
1987/04/17,12.36,1986-2005,CanESM2
1987/04/18,13.82,1986-2005,CanESM2
1987/04/19,14.01,1986-2005,CanESM2
1987/04/20,16.01,1986-2005,CanESM2
1987/04/21,13.17,1986-2005,CanESM2
1987/04/22,16.29,1986-2005,CanESM2
1987/04/23,17.03,1986-2005,CanESM2
1987/04/24,13.08,1986-2005,CanESM2
1987/04/25,16.48,1986-2005,CanESM2
1987/04/26,18.55,1986-2005,CanESM2
1987/04/27,20.65,1986-2005,CanESM2
1987/04/28,7.71,1986-2005,CanESM2
1987/04/29,6.4,1986-2005,CanESM2
1987/04/30,10.71,1986-2005,CanESM2
1987/05/01,17.51,1986-2005,CanESM2
1987/05/02,12.92,1986-2005,CanESM2
1987/05/03,6.81,1986-2005,CanESM2
1987/05/04,12.51,1986-2005,CanESM2
1987/05/05,14.07,1986-2005,CanESM2
1987/05/06,10.74,1986-2005,CanESM2
1987/05/07,17.04,1986-2005,CanESM2
1987/05/08,24.72,1986-2005,CanESM2
1987/05/09,14.27,1986-2005,CanESM2
1987/05/10,9.9,1986-2005,CanESM2
1987/05/11,11.01,1986-2005,CanESM2
1987/05/12,13.81,1986-2005,CanESM2
1987/05/13,13.8,1986-2005,CanESM2
1987/05/14,11.87,1986-2005,CanESM2
1987/05/15,16.83,1986-2005,CanESM2
1987/05/16,21.07,1986-2005,CanESM2
1987/05/17,29.28,1986-2005,CanESM2
1987/05/18,24.29,1986-2005,CanESM2
1987/05/19,15.86,1986-2005,CanESM2
1987/05/20,20.01,1986-2005,CanESM2
1987/05/21,28.17,1986-2005,CanESM2
1987/05/22,22.38,1986-2005,CanESM2
1987/05/23,30.67,1986-2005,CanESM2
1987/05/24,34.47,1986-2005,CanESM2
1987/05/25,34.16,1986-2005,CanESM2
1987/05/26,28.25,1986-2005,CanESM2
1987/05/27,25.71,1986-2005,CanESM2
1987/05/28,20.36,1986-2005,CanESM2
1987/05/29,16.4,1986-2005,CanESM2
1987/05/30,15.52,1986-2005,CanESM2
1987/05/31,15.93,1986-2005,CanESM2
1987/06/01,25.62,1986-2005,CanESM2
1987/06/02,23.02,1986-2005,CanESM2
1987/06/03,27.13,1986-2005,CanESM2
1987/06/04,28.92,1986-2005,CanESM2
1987/06/05,36.33,1986-2005,CanESM2
1987/06/06,36.84,1986-2005,CanESM2
1987/06/07,30.14,1986-2005,CanESM2
1987/06/08,23.3,1986-2005,CanESM2
1987/06/09,22.48,1986-2005,CanESM2
1987/06/10,28.22,1986-2005,CanESM2
1987/06/11,26.91,1986-2005,CanESM2
1987/06/12,27.59,1986-2005,CanESM2
1987/06/13,33.11,1986-2005,CanESM2
1987/06/14,27.05,1986-2005,CanESM2
1987/06/15,25.88,1986-2005,CanESM2
1987/06/16,32.08,1986-2005,CanESM2
1987/06/17,36.88,1986-2005,CanESM2
1987/06/18,36.24,1986-2005,CanESM2
1987/06/19,39.43,1986-2005,CanESM2
1987/06/20,28.69,1986-2005,CanESM2
1987/06/21,23.66,1986-2005,CanESM2
1987/06/22,21.63,1986-2005,CanESM2
1987/06/23,26.66,1986-2005,CanESM2
1987/06/24,34.17,1986-2005,CanESM2
1987/06/25,30.4,1986-2005,CanESM2
1987/06/26,34.63,1986-2005,CanESM2
1987/06/27,40.16,1986-2005,CanESM2
1987/06/28,34.42,1986-2005,CanESM2
1987/06/29,31.73,1986-2005,CanESM2
1987/06/30,31.14,1986-2005,CanESM2
1987/07/01,26.33,1986-2005,CanESM2
1987/07/02,29.55,1986-2005,CanESM2
1987/07/03,34.77,1986-2005,CanESM2
1987/07/04,40.04,1986-2005,CanESM2
1987/07/05,38.02,1986-2005,CanESM2
1987/07/06,34.58,1986-2005,CanESM2
1987/07/07,35.64,1986-2005,CanESM2
1987/07/08,32.41,1986-2005,CanESM2
1987/07/09,30.88,1986-2005,CanESM2
1987/07/10,28.87,1986-2005,CanESM2
1987/07/11,35.75,1986-2005,CanESM2
1987/07/12,37.54,1986-2005,CanESM2
1987/07/13,38.93,1986-2005,CanESM2
1987/07/14,33.19,1986-2005,CanESM2
1987/07/15,30.78,1986-2005,CanESM2
1987/07/16,36.22,1986-2005,CanESM2
1987/07/17,38.86,1986-2005,CanESM2
1987/07/18,37.96,1986-2005,CanESM2
1987/07/19,35.58,1986-2005,CanESM2
1987/07/20,38.29,1986-2005,CanESM2
1987/07/21,34.49,1986-2005,CanESM2
1987/07/22,33.15,1986-2005,CanESM2
1987/07/23,42.11,1986-2005,CanESM2
1987/07/24,38.03,1986-2005,CanESM2
1987/07/25,32.72,1986-2005,CanESM2
